ID,Paper Title,Publication Year,Author Keywords,Article Citation Count,Authors with Affiliations
1,Semantically Enhanced Software Traceability Using Deep Learning Techniques,2017,Traceability;Deep Learning;Recurrent Neural Network;Semantic Representation,147,"J. Guo (University of Notre Dame, IN, USA); J. Cheng (University of Notre Dame, IN, USA); J. Cleland-Huang (University of Notre Dame, IN, USA)"
2,Can Latent Topics in Source Code Predict Missing Architectural Tactics?,2017,Architectural design and implementation;tactic recommender;emergent design,8,"R. Gopalakrishnan (Rochester Institute of Technology, USA); P. Sharma (Rochester Institute of Technology, USA); M. Mirakhorli (Rochester Institute of Technology, USA); M. Galster (University of Canterbury, New Zealand)"
3,Analyzing APIs Documentation and Code to Detect Directive Defects,2017,API documentation;static analysis;natural language processing,66,"Y. Zhou (College of Computer Science, Nanjing University of Aeronautics and Astronautics, Nanjing, China); R. Gu (College of Computer Science, Nanjing University of Aeronautics and Astronautics, Nanjing, China); T. Chen (Department of Computer Science, Middlesex University, London, UK); Z. Huang (College of Computer Science, Nanjing University of Aeronautics and Astronautics, Nanjing, China); S. Panichella (Department of Informatics, University of Zurich, Switzerland); H. Gall (Department of Informatics, University of Zurich, Switzerland)"
4,An Unsupervised Approach for Discovering Relevant Tutorial Fragments for APIs,2017,Application Programming Interface;PageRank Algorithm;Topic Model;Unsupervised Approaches,43,"H. Jiang (State Key Laboratory of Software Engineering, Wuhan University, Wuhan, China); J. Zhang (School of Software, Dalian University of Technology, Dalian, China); Z. Ren (School of Software, Dalian University of Technology, Dalian, China); T. Zhang (College of Computer Science and Technology, Harbin Engineering University, Harbin, China)"
5,Detecting User Story Information in Developer-Client Conversations to Generate Extractive Summaries,2017,developer communication;user story generation;software engineering;productivity;transcripts,40,"P. Rodeghero (Department of Computer Science and Engineering, University of Notre Dame, IN, USA); S. Jiang (Department of Computer Science and Engineering, University of Notre Dame, IN, USA); A. Armaly (Department of Computer Science and Engineering, University of Notre Dame, IN, USA); C. McMillan (Department of Computer Science and Engineering, University of Notre Dame, IN, USA)"
6,Clone Refactoring with Lambda Expressions,2017,Refactoring;Code duplication;Lambda expressions,34,"N. Tsantalis (Computer Science and Software Engineering, Concordia University, Montreal, Canada); D. Mazinanian (Computer Science and Software Engineering, Concordia University, Montreal, Canada); S. Rostami (Computer Science and Software Engineering, Concordia University, Montreal, Canada)"
7,Characterizing and Detecting Anti-Patterns in the Logging Code,2017,anti-patterns;logging code;logging practices;empirical studies;software maintenance,68,"B. Chen (Software Construction, AnaLytics and Evaluation (SCALE) Lab, York University, Toronto, Canada); Z. M. Jiang (Software Construction, AnaLytics and Evaluation (SCALE) Lab, York University, Toronto, Canada)"
8,Automated Refactoring of Legacy Java Software to Default Methods,2017,refactoring;java;interfaces;default methods,9,R. Khatchadourian (City University of New York); H. Masuhara (Tokyo Institute of Technology)
9,Supporting Software Developers with a Holistic Recommender System,2017,Mining unstructured data;Recommender systems,33,"L. Ponzanelli (Universita della Svizzera italiana (USAI), Switzerland); S. Scalabrino (University of Molise, Italy); G. Bavota (Universita della Svizzera italiana (USAI), Switzerland); A. Mocci (Universita della Svizzera italiana (USAI), Switzerland); R. Oliveto (University of Molise, Italy); M. Di Penta (University of Sannio, Italy); M. Lanza (Universita della Svizzera italiana (USAI), Switzerland)"
10,Recommending and Localizing Change Requests for Mobile Apps Based on User Reviews,2017,Mobile Apps;Mining User Reviews;Natural Language Processing;Impact Analysis,97,"F. Palomba (Delft University of Technology, The Netherlands); P. Salza (University of Salerno, Italy); A. Ciurumelea (University of Zurich, Switzerland); S. Panichella (University of Zurich, Switzerland); H. Gall (University of Zurich, Switzerland); F. Ferrucci (University of Salerno, Italy); A. De Lucia (University of Salerno, Italy)"
11,Machine Learning-Based Detection of Open Source License Exceptions,2017,Software Licenses;Empirical Studies;Classifiers,16,"C. Vendome (College of William and Mary, Williamsburg, VA, USA); M. Linares-Vasquez (Universidad de los Andes, Bogota, Colombia); G. Bavota (Universita della Svizzera italiana (USAI), Lugano, Switzerland); M. Di Penta (University of Sannio, Benevento, Italy); D. German (University of Victoria, BC, Canada); D. Poshyvanyk (College of William and Mary, Williamsburg, VA, USA)"
12,Software Development Waste,2017,Software engineering waste;Extreme Programming;Lean Software Development,52,"T. Sedano (Carnegie Mellon University); P. Ralph (University of British Columbia, Vancouver, BC, Canada); C. PÃƒÂ©raire (Carnegie Mellon University Electrical and Computer Engineering, CA, USA)"
13,Becoming Agile: A Grounded Theory of Agile Transitions in Practice,2017,agile software development;transition;selforganizing;teams;management;culture;theory;grounded theory,57,"R. Hoda (Department of Electrical and Computer Engineering, The University of Auckland, Auckland, New Zealand); J. Noble (School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand)"
14,From Diversity by Numbers to Diversity as Process: Supporting Inclusiveness in Software Development Teams with Brainstorming,2017,Diversity;hackathons;teamwork;brainstorming;satisfaction;software engineering management,38,"A. Filippova (Institute for Software Research, Carnegie Mellon University, Pittsburgh, PA, USA); E. Trainer (Institute for Software Research, Carnegie Mellon University, Pittsburgh, PA, USA); J. D. Herbsleb (Institute for Software Research, Carnegie Mellon University, Pittsburgh, PA, USA)"
15,Classifying Developers into Core and Peripheral: An Empirical Study on Count and Network Metrics,2017,Developer roles;developer networks;classification;mining software repositories,44,"M. Joblin (Siemens AG, Erlangen, Germany); S. Apel (University of Passau, Passau, Germany); C. Hunsen (University of Passau, Passau, Germany); W. Mauerer (Siemens AG, OTH Regensburg, Munich / Regensburg, Germany)"
16,Decoding the Representation of Code in the Brain: An fMRI Study of Code Review and Expertise,2017,medical imaging;code comprehension;prose review,71,B. Floyd (University of Virginia); T. Santander (University of Virginia); W. Weimer (University of Virginia)
